param,value,label,test_acc_mean,test_acc_std
alpha,-0.1,alpha=-0.1,0.932200,0.021322
alpha,-0.05,alpha=-0.05,0.919500,0.031940
alpha,0.0,alpha=0,0.923980,0.025618
alpha,0.05,alpha=0.05,0.931740,0.014794
alpha,0.1,alpha=0.1,0.926720,0.023111
beta,0.0,beta=0,0.919080,0.034142
beta,0.05,beta=0.05,0.923320,0.022810
beta,0.1,beta=0.1,0.930660,0.012595
beta,0.2,beta=0.2,0.913960,0.036379
gamma,0.0,gamma=0,0.924140,0.015830
gamma,1.0,gamma=1,0.920340,0.034347
gamma,5.0,gamma=5,0.920060,0.026613
baseline,,adam,0.929100,0.021957
